지역명,연도,월,평당분양가격
제주,2014,12,7739.0
서울,2015,1,20670.0
부산,2015,1,9204.0
대구,2015,1,8327.0
인천,2015,1,10017.0
광주,2015,1,7752.0
대전,2015,1,8067.0
울산,2015,1,8526.0
경기,2015,1,10391.0
세종,2015,1,8560.0
강원,2015,1,6348.0
충북,2015,1,6749.0
충남,2015,1,6976.0
전북,2015,1,6583.0
전남,2015,1,5784.0
경북,2015,1,6992.0
경남,2015,1,7592.0
제주,2015,1,7739.0
서울,2015,2,20670.0
부산,2015,2,9235.0
대구,2015,2,8416.0
인천,2015,2,9876.0
광주,2015,2,7756.0
대전,2015,2,8067.0
울산,2015,2,8526.0
경기,2015,2,10355.0
세종,2015,2,8560.0
강원,2015,2,6350.0
충북,2015,2,6747.0
충남,2015,2,6980.0
전북,2015,2,6583.0
전남,2015,2,5833.0
경북,2015,2,6953.0
경남,2015,2,7588.0
제주,2015,2,7739.0
서울,2015,3,19415.0
부산,2015,3,9279.0
대구,2015,3,8441.0
인천,2015,3,9876.0
광주,2015,3,7861.0
대전,2015,3,8067.0
울산,2015,3,8629.0
경기,2015,3,10469.0
세종,2015,3,8555.0
강원,2015,3,6182.0
충북,2015,3,6783.0
충남,2015,3,7161.0
전북,2015,3,6542.0
전남,2015,3,5825.0
경북,2015,3,6997.0
경남,2015,3,7668.0
제주,2015,3,7826.0
서울,2015,4,18842.0
부산,2015,4,9327.0
대구,2015,4,8446.0
인천,2015,4,9938.0
광주,2015,4,7914.0
대전,2015,4,8145.0
울산,2015,4,9380.0
경기,2015,4,10684.0
세종,2015,4,8546.0
강원,2015,4,6924.0
충북,2015,4,6790.0
충남,2015,4,7017.0
전북,2015,4,6551.0
전남,2015,4,5940.0
경북,2015,4,7006.0
경남,2015,4,7683.0
제주,2015,4,7285.0
서울,2015,5,18367.0
부산,2015,5,9345.0
대구,2015,5,8568.0
인천,2015,5,10551.0
광주,2015,5,7877.0
대전,2015,5,8272.0
울산,2015,5,9192.0
경기,2015,5,10685.0
세종,2015,5,8546.0
강원,2015,5,6846.0
충북,2015,5,6805.0
충남,2015,5,6975.0
전북,2015,5,6556.0
전남,2015,5,6050.0
경북,2015,5,6966.0
경남,2015,5,7717.0
제주,2015,5,7285.0
서울,2015,6,18374.0
부산,2015,6,9515.0
대구,2015,6,8542.0
인천,2015,6,10443.0
광주,2015,6,7881.0
대전,2015,6,8079.0
울산,2015,6,9190.0
경기,2015,6,10573.0
세종,2015,6,8671.0
강원,2015,6,6986.0
충북,2015,6,6682.0
충남,2015,6,6939.0
전북,2015,6,6601.0
전남,2015,6,6243.0
경북,2015,6,6887.0
경남,2015,6,7715.0
제주,2015,6,7343.0
서울,2015,7,18152.0
부산,2015,7,9559.0
대구,2015,7,8542.0
인천,2015,7,10443.0
광주,2015,7,8089.0
대전,2015,7,8079.0
울산,2015,7,9190.0
경기,2015,7,10518.0
세종,2015,7,8669.0
강원,2015,7,7019.0
충북,2015,7,6601.0
충남,2015,7,6935.0
전북,2015,7,6750.0
전남,2015,7,6286.0
경북,2015,7,7035.0
경남,2015,7,7723.0
제주,2015,7,7343.0
서울,2015,8,18443.0
부산,2015,8,9581.0
대구,2015,8,8795.0
인천,2015,8,10449.0
광주,2015,8,8231.0
대전,2015,8,8079.0
울산,2015,8,9215.0
경기,2015,8,10573.0
세종,2015,8,8695.0
강원,2015,8,7008.0
충북,2015,8,6603.0
충남,2015,8,6942.0
전북,2015,8,6580.0
전남,2015,8,6289.0
경북,2015,8,7037.0
경남,2015,8,7665.0
제주,2015,8,7343.0
서울,2015,10,19275.3
인천,2015,10,10437.9
경기,2015,10,10355.4
부산,2015,10,10269.6
대구,2015,10,8850.6
광주,2015,10,7986.0
대전,2015,10,8098.2
울산,2015,10,10074.9
세종,2015,10,8718.6
강원,2015,10,7151.099999999999
충북,2015,10,6705.599999999999
충남,2015,10,6926.7
전북,2015,10,6778.2
전남,2015,10,6352.5
경북,2015,10,7088.4
경남,2015,10,7560.299999999999
제주,2015,10,7365.599999999999
서울,2015,11,19965.0
인천,2015,11,10507.2
경기,2015,11,10223.4
부산,2015,11,10332.3
대구,2015,11,9071.7
광주,2015,11,7999.2
대전,2015,11,8098.2
울산,2015,11,10041.9
세종,2015,11,8738.4
강원,2015,11,7164.299999999999
충북,2015,11,6613.2
충남,2015,11,6930.0
전북,2015,11,6788.099999999999
전남,2015,11,6299.7
경북,2015,11,7227.0
경남,2015,11,7583.4
제주,2015,11,7365.599999999999
서울,2015,12,19935.3
인천,2015,12,10507.2
경기,2015,12,10553.4
부산,2015,12,10319.1
대구,2015,12,9774.6
광주,2015,12,8170.799999999999
대전,2015,12,8098.2
울산,2015,12,10041.9
세종,2015,12,8794.5
강원,2015,12,7164.299999999999
충북,2015,12,6616.5
충남,2015,12,7487.7
전북,2015,12,6543.9
전남,2015,12,6299.7
경북,2015,12,7197.299999999999
경남,2015,12,7613.099999999999
제주,2015,12,7484.4
서울,2016,1,20156.4
인천,2016,1,10530.3
경기,2016,1,10553.4
부산,2016,1,10401.6
대구,2016,1,10183.8
광주,2016,1,8477.699999999999
대전,2016,1,8098.2
울산,2016,1,10051.8
세종,2016,1,8794.5
강원,2016,1,7170.9
충북,2016,1,6626.4
충남,2016,1,7491.0
전북,2016,1,6534.0
전남,2016,1,6299.7
경북,2016,1,7197.299999999999
경남,2016,1,7679.099999999999
제주,2016,1,7484.4
서울,2016,2,20166.3
인천,2016,2,10533.6
경기,2016,2,10622.7
부산,2016,2,10408.2
대구,2016,2,10111.2
광주,2016,2,8477.699999999999
대전,2016,2,8098.2
울산,2016,2,10051.8
세종,2016,2,8794.5
강원,2016,2,7170.9
충북,2016,2,6626.4
충남,2016,2,7497.599999999999
전북,2016,2,6534.0
전남,2016,2,6345.9
경북,2016,2,7190.7
경남,2016,2,7781.4
제주,2016,2,7484.4
서울,2016,3,20370.9
인천,2016,3,10527.0
경기,2016,3,10609.5
부산,2016,3,10487.4
대구,2016,3,10292.7
광주,2016,3,8547.0
대전,2016,3,8098.2
울산,2016,3,10117.8
세종,2016,3,8811.0
강원,2016,3,7240.2
충북,2016,3,6534.0
충남,2016,3,6979.5
전북,2016,3,6438.299999999999
전남,2016,3,6339.299999999999
경북,2016,3,7190.7
경남,2016,3,7863.9
제주,2016,3,7636.2
서울,2016,4,20595.3
인천,2016,4,10685.4
경기,2016,4,10556.7
부산,2016,4,10457.7
대구,2016,4,10335.6
광주,2016,4,8910.0
대전,2016,4,8081.7
울산,2016,4,10137.6
세종,2016,4,8844.0
강원,2016,4,7062.0
충북,2016,4,6494.4
충남,2016,4,7157.7
전북,2016,4,6299.7
전남,2016,4,6352.5
경북,2016,4,7184.099999999999
경남,2016,4,7890.299999999999
제주,2016,4,8972.699999999999
서울,2016,5,20671.2
인천,2016,5,10490.7
경기,2016,5,11361.9
부산,2016,5,10388.4
대구,2016,5,10335.6
광주,2016,5,8982.6
대전,2016,5,8134.5
울산,2016,5,10154.1
세종,2016,5,8844.0
강원,2016,5,6986.099999999999
충북,2016,5,6534.0
충남,2016,5,7147.799999999999
전북,2016,5,6418.5
전남,2016,5,6359.099999999999
경북,2016,5,7180.799999999999
경남,2016,5,7857.299999999999
제주,2016,5,8880.3
서울,2016,6,20486.4
인천,2016,6,10573.2
경기,2016,6,11688.6
부산,2016,6,10395.0
대구,2016,6,10342.2
광주,2016,6,9032.1
대전,2016,6,8454.6
울산,2016,6,10127.7
세종,2016,6,8853.9
강원,2016,6,6943.2
충북,2016,6,6755.099999999999
충남,2016,6,7253.4
전북,2016,6,6372.299999999999
전남,2016,6,6494.4
경북,2016,6,7385.4
경남,2016,6,7883.7
제주,2016,6,9329.1
서울,2016,7,20638.2
인천,2016,7,10632.6
경기,2016,7,11652.3
부산,2016,7,10421.4
대구,2016,7,10329.0
광주,2016,7,9048.6
대전,2016,7,8454.6
울산,2016,7,10127.7
세종,2016,7,8867.1
강원,2016,7,6933.299999999999
충북,2016,7,6847.5
충남,2016,7,7253.4
전북,2016,7,6365.7
전남,2016,7,6494.4
경북,2016,7,7418.4
경남,2016,7,7837.5
제주,2016,7,9329.1
서울,2016,8,20740.5
인천,2016,8,10675.5
경기,2016,8,11751.3
부산,2016,8,10510.5
대구,2016,8,10385.1
광주,2016,8,8995.8
대전,2016,8,8454.6
울산,2016,8,9820.8
세종,2016,8,8890.199999999999
강원,2016,8,6923.4
충북,2016,8,7009.2
충남,2016,8,7375.5
전북,2016,8,6365.7
전남,2016,8,6487.799999999999
경북,2016,8,7385.4
경남,2016,8,7867.2
제주,2016,8,9497.4
서울,2016,9,20733.9
인천,2016,9,10454.4
경기,2016,9,11088.0
부산,2016,9,10560.0
대구,2016,9,10385.1
광주,2016,9,8979.3
대전,2016,9,8306.1
울산,2016,9,9820.8
세종,2016,9,8873.699999999999
강원,2016,9,6930.0
충북,2016,9,7012.5
충남,2016,9,7378.799999999999
전북,2016,9,6352.5
전남,2016,9,6507.599999999999
경북,2016,9,7428.299999999999
경남,2016,9,7890.299999999999
제주,2016,9,10173.9
서울,2016,10,21120.0
인천,2016,10,10553.4
경기,2016,10,11322.3
부산,2016,10,10220.1
대구,2016,10,10385.1
광주,2016,10,8992.5
대전,2016,10,10117.8
울산,2016,10,10576.5
세종,2016,10,8910.0
강원,2016,10,7052.099999999999
충북,2016,10,6923.4
충남,2016,10,7415.099999999999
전북,2016,10,6359.099999999999
전남,2016,10,6540.599999999999
경북,2016,10,7570.2
경남,2016,10,7959.599999999999
제주,2016,10,10173.9
서울,2016,11,21021.0
인천,2016,11,10398.3
경기,2016,11,11701.8
부산,2016,11,10173.9
대구,2016,11,10259.7
광주,2016,11,9157.5
대전,2016,11,8860.5
울산,2016,11,10758.0
세종,2016,11,8916.6
강원,2016,11,6834.299999999999
충북,2016,11,7012.5
충남,2016,11,7514.099999999999
전북,2016,11,6362.4
전남,2016,11,6784.799999999999
경북,2016,11,7570.2
경남,2016,11,7784.7
제주,2016,11,10253.1
서울,2016,12,21261.9
인천,2016,12,10335.6
경기,2016,12,11731.5
부산,2016,12,10734.9
대구,2016,12,10375.2
광주,2016,12,9183.9
대전,2016,12,8860.5
울산,2016,12,10758.0
세종,2016,12,8926.5
강원,2016,12,6887.099999999999
충북,2016,12,6867.299999999999
충남,2016,12,7504.2
전북,2016,12,6613.2
전남,2016,12,6857.4
경북,2016,12,7626.299999999999
경남,2016,12,7880.4
제주,2016,12,10335.6
서울,2017,1,21285.0
인천,2017,1,10335.6
경기,2017,1,11728.2
부산,2017,1,10705.2
대구,2017,1,10299.3
광주,2017,1,9167.4
대전,2017,1,8860.5
울산,2017,1,10758.0
세종,2017,1,8926.5
강원,2017,1,6880.5
충북,2017,1,6946.5
충남,2017,1,7375.5
전북,2017,1,6619.799999999999
전남,2017,1,6857.4
경북,2017,1,7629.599999999999
경남,2017,1,7887.0
제주,2017,1,10309.2
서울,2017,2,21331.2
인천,2017,2,10451.1
경기,2017,2,11903.1
부산,2017,2,10701.9
대구,2017,2,10421.4
광주,2017,2,9167.4
대전,2017,2,8979.3
울산,2017,2,10767.9
세종,2017,2,8926.5
강원,2017,2,6897.0
충북,2017,2,6745.2
충남,2017,2,7378.799999999999
전북,2017,2,6629.7
전남,2017,2,6906.9
경북,2017,2,7613.099999999999
경남,2017,2,7867.2
제주,2017,2,10342.2
서울,2017,3,21021.0
인천,2017,3,10490.7
경기,2017,3,11985.6
부산,2017,3,10857.0
대구,2017,3,10560.0
광주,2017,3,9183.9
대전,2017,3,8979.3
울산,2017,3,10767.9
세종,2017,3,8926.5
강원,2017,3,6824.4
충북,2017,3,6520.799999999999
충남,2017,3,7382.099999999999
전북,2017,3,6745.2
전남,2017,3,6897.0
경북,2017,3,7560.299999999999
경남,2017,3,7943.099999999999
제주,2017,3,10220.1
서울,2017,4,21007.8
인천,2017,4,10490.7
경기,2017,4,11893.2
부산,2017,4,10853.7
대구,2017,4,10490.7
광주,2017,4,9418.2
대전,2017,4,9038.7
울산,2017,4,11807.4
세종,2017,4,9005.699999999999
강원,2017,4,6824.4
충북,2017,4,6732.0
충남,2017,4,7329.299999999999
전북,2017,4,6946.5
전남,2017,4,6949.799999999999
경북,2017,4,7649.4
경남,2017,4,7923.299999999999
제주,2017,4,10965.9
서울,2017,5,21120.0
인천,2017,5,10860.3
경기,2017,5,11464.2
부산,2017,5,11711.7
대구,2017,5,10490.7
광주,2017,5,9537.0
대전,2017,5,9038.7
울산,2017,5,11807.4
세종,2017,5,9005.699999999999
강원,2017,5,6877.2
충북,2017,5,6765.0
충남,2017,5,7332.599999999999
전북,2017,5,7029.0
전남,2017,5,7144.5
경북,2017,5,7797.9
경남,2017,5,7979.4
제주,2017,5,11414.7
서울,2017,6,22001.1
인천,2017,6,10975.8
경기,2017,6,11513.7
부산,2017,6,11932.8
대구,2017,6,10711.8
광주,2017,6,9609.6
대전,2017,6,9038.7
울산,2017,6,11820.6
세종,2017,6,9018.9
강원,2017,6,7032.299999999999
충북,2017,6,6741.9
충남,2017,6,7504.2
전북,2017,6,7263.299999999999
전남,2017,6,7085.099999999999
경북,2017,6,7863.9
경남,2017,6,8065.2
제주,2017,6,10804.2
서울,2017,7,21690.9
인천,2017,7,10962.6
경기,2017,7,11975.7
부산,2017,7,11926.2
대구,2017,7,12771.0
광주,2017,7,9550.2
대전,2017,7,9035.4
울산,2017,7,11820.6
세종,2017,7,9018.9
강원,2017,7,7081.799999999999
충북,2017,7,6741.9
충남,2017,7,7507.5
전북,2017,7,7243.5
전남,2017,7,7085.099999999999
경북,2017,7,7860.599999999999
경남,2017,7,8134.5
제주,2017,7,11005.5
서울,2017,8,20367.6
인천,2017,8,10800.9
경기,2017,8,12015.3
부산,2017,8,11843.7
대구,2017,8,13180.2
광주,2017,8,9579.9
대전,2017,8,9035.4
울산,2017,8,11820.6
세종,2017,8,9022.2
강원,2017,8,7484.4
충북,2017,8,6765.0
충남,2017,8,7448.099999999999
전북,2017,8,7289.7
전남,2017,8,7306.2
경북,2017,8,8055.299999999999
경남,2017,8,8299.5
제주,2017,8,11005.5
서울,2017,9,21473.1
인천,2017,9,10896.6
경기,2017,9,11972.4
부산,2017,9,11860.2
대구,2017,9,12668.7
광주,2017,9,9718.5
대전,2017,9,9550.2
울산,2017,9,11820.6
세종,2017,9,9101.4
강원,2017,9,7375.5
충북,2017,9,6778.2
충남,2017,9,7448.099999999999
전북,2017,9,7322.7
전남,2017,9,7306.2
경북,2017,9,8015.7
경남,2017,9,8283.0
제주,2017,9,10632.6
서울,2017,10,21707.4
인천,2017,10,10890.0
경기,2017,10,11962.5
부산,2017,10,12285.9
대구,2017,10,12668.7
광주,2017,10,9609.6
대전,2017,10,9005.699999999999
울산,2017,10,11170.5
세종,2017,10,9104.7
강원,2017,10,7520.7
충북,2017,10,6798.0
충남,2017,10,7533.9
전북,2017,10,7200.599999999999
전남,2017,10,7606.5
경북,2017,10,7811.099999999999
경남,2017,10,8038.799999999999
제주,2017,10,10632.6
서울,2017,11,21968.1
인천,2017,11,10890.0
경기,2017,11,11738.1
부산,2017,11,12606.0
대구,2017,11,12071.4
광주,2017,11,9553.5
대전,2017,11,9180.6
울산,2017,11,11134.2
세종,2017,11,9108.0
강원,2017,11,7652.7
충북,2017,11,6854.099999999999
충남,2017,11,7451.4
전북,2017,11,7260.0
전남,2017,11,7883.7
경북,2017,11,7887.0
경남,2017,11,8649.3
제주,2017,11,11748.0
서울,2017,12,22129.8
인천,2017,12,10949.4
경기,2017,12,11936.1
부산,2017,12,12678.6
대구,2017,12,11751.3
광주,2017,12,9556.8
대전,2017,12,8929.8
울산,2017,12,10434.6
세종,2017,12,10431.3
강원,2017,12,7596.599999999999
충북,2017,12,6854.099999999999
충남,2017,12,7778.099999999999
전북,2017,12,7345.799999999999
전남,2017,12,7920.0
경북,2017,12,7887.0
경남,2017,12,8896.8
제주,2017,12,11807.4
서울,2018,1,21855.9
인천,2018,1,10998.9
경기,2018,1,12691.8
부산,2018,1,12678.6
대구,2018,1,11830.5
광주,2018,1,9550.2
대전,2018,1,9055.2
울산,2018,1,10434.6
세종,2018,1,10431.3
강원,2018,1,7669.2
충북,2018,1,6854.099999999999
충남,2018,1,7900.2
전북,2018,1,7345.799999999999
전남,2018,1,7920.0
경북,2018,1,8055.299999999999
경남,2018,1,8896.8
제주,2018,1,11998.8
서울,2018,2,21882.3
인천,2018,2,11028.6
경기,2018,2,12790.8
부산,2018,2,12705.0
대구,2018,2,11101.2
광주,2018,2,9550.2
대전,2018,2,9527.1
울산,2018,2,10474.2
세종,2018,2,10431.3
강원,2018,2,7665.9
충북,2018,2,7147.799999999999
충남,2018,2,7900.2
전북,2018,2,7500.9
전남,2018,2,7774.799999999999
경북,2018,2,8055.299999999999
경남,2018,2,8903.4
제주,2018,2,12635.7
서울,2018,3,22558.8
인천,2018,3,11408.1
경기,2018,3,12790.8
부산,2018,3,12596.1
대구,2018,3,11193.6
광주,2018,3,9669.0
대전,2018,3,9527.1
울산,2018,3,10474.2
세종,2018,3,10431.3
강원,2018,3,7890.299999999999
충북,2018,3,8101.5
충남,2018,3,7900.2
전북,2018,3,7467.9
전남,2018,3,7748.4
경북,2018,3,8052.0
경남,2018,3,8900.1
제주,2018,3,12952.5
서울,2018,4,22575.3
인천,2018,4,11408.1
경기,2018,4,12734.7
부산,2018,4,12747.9
대구,2018,4,11629.2
광주,2018,4,9520.5
대전,2018,4,9807.6
울산,2018,4,10474.2
세종,2018,4,10332.3
강원,2018,4,7514.099999999999
충북,2018,4,8682.3
충남,2018,4,7900.2
전북,2018,4,7646.099999999999
전남,2018,4,7771.5
경북,2018,4,8052.0
경남,2018,4,8877.0
제주,2018,4,12952.5
서울,2018,5,22832.7
인천,2018,5,11338.8
경기,2018,5,13157.1
부산,2018,5,12714.9
대구,2018,5,12048.3
광주,2018,5,9589.8
대전,2018,5,9807.6
울산,2018,5,10474.2
세종,2018,5,10332.3
강원,2018,5,7553.7
충북,2018,5,8698.8
충남,2018,5,8094.9
전북,2018,5,7675.799999999999
전남,2018,5,7774.799999999999
경북,2018,5,8672.4
경남,2018,5,8893.5
제주,2018,5,12952.5
서울,2018,6,22090.2
인천,2018,6,11127.6
경기,2018,6,12959.1
부산,2018,6,12817.2
대구,2018,6,12107.7
광주,2018,6,9900.0
대전,2018,6,9807.6
울산,2018,6,10312.5
세종,2018,6,10332.3
강원,2018,6,7563.599999999999
충북,2018,6,7873.799999999999
충남,2018,6,8141.099999999999
전북,2018,6,7675.799999999999
전남,2018,6,7774.799999999999
경북,2018,6,8682.3
경남,2018,6,8893.5
제주,2018,6,12952.5
서울,2018,7,22506.0
인천,2018,7,11127.6
경기,2018,7,13041.6
부산,2018,7,13035.0
대구,2018,7,12249.6
광주,2018,7,9685.5
대전,2018,7,9698.7
울산,2018,7,10312.5
세종,2018,7,10332.3
강원,2018,7,7629.599999999999
충북,2018,7,7887.0
충남,2018,7,8141.099999999999
전북,2018,7,7698.9
전남,2018,7,7778.099999999999
경북,2018,7,8824.199999999999
경남,2018,7,8896.8
제주,2018,7,11002.2
서울,2018,8,22212.3
인천,2018,8,11031.9
경기,2018,8,13431.0
부산,2018,8,13107.6
대구,2018,8,12295.8
광주,2018,8,9685.5
대전,2018,8,9698.7
울산,2018,8,10312.5
세종,2018,8,10388.4
강원,2018,8,7669.2
충북,2018,8,7887.0
충남,2018,8,8071.799999999999
전북,2018,8,7626.299999999999
전남,2018,8,7778.099999999999
경북,2018,8,8589.9
경남,2018,8,8781.3
제주,2018,8,11002.2
서울,2018,9,23080.2
인천,2018,9,11031.9
경기,2018,9,13510.2
부산,2018,9,13497.0
대구,2018,9,12342.0
광주,2018,9,9672.3
대전,2018,9,11111.1
울산,2018,9,10312.5
세종,2018,9,10388.4
강원,2018,9,7685.7
충북,2018,9,7867.2
충남,2018,9,8071.799999999999
전북,2018,9,7626.299999999999
전남,2018,9,7761.599999999999
경북,2018,9,8721.9
경남,2018,9,9061.8
제주,2018,9,11002.2
서울,2018,10,24347.4
인천,2018,10,11352.0
경기,2018,10,13648.8
부산,2018,10,13318.8
대구,2018,10,12536.7
광주,2018,10,10045.2
대전,2018,10,11055.0
울산,2018,10,9537.0
세종,2018,10,10388.4
강원,2018,10,7778.099999999999
충북,2018,10,7867.2
충남,2018,10,8071.799999999999
전북,2018,10,7659.299999999999
전남,2018,10,7788.0
경북,2018,10,8662.5
경남,2018,10,9223.5
제주,2018,10,11002.2
서울,2018,11,24317.7
인천,2018,11,11724.9
경기,2018,11,13698.3
부산,2018,11,13332.0
대구,2018,11,12622.5
광주,2018,11,10563.3
대전,2018,11,11055.0
울산,2018,11,9537.0
세종,2018,11,10388.4
강원,2018,11,7873.799999999999
충북,2018,11,7811.099999999999
충남,2018,11,7989.299999999999
전북,2018,11,7731.9
전남,2018,11,7715.4
경북,2018,11,8847.3
경남,2018,11,9230.1
제주,2018,11,10936.2
서울,2018,12,24413.4
인천,2018,12,11708.4
경기,2018,12,13777.5
부산,2018,12,13424.4
대구,2018,12,12952.5
광주,2018,12,10837.2
대전,2018,12,12012.0
울산,2018,12,10312.5
세종,2018,12,10081.5
강원,2018,12,7675.799999999999
충북,2018,12,7811.099999999999
충남,2018,12,7969.5
전북,2018,12,7854.0
전남,2018,12,7883.7
경북,2018,12,8847.3
경남,2018,12,9675.6
제주,2018,12,11299.2
서울,2019,1,25080.0
인천,2019,1,11823.9
경기,2019,1,14051.4
부산,2019,1,13424.4
대구,2019,1,13143.9
광주,2019,1,10926.3
대전,2019,1,12173.7
울산,2019,1,10362.0
세종,2019,1,10081.5
강원,2019,1,7784.7
충북,2019,1,7811.099999999999
충남,2019,1,8127.9
전북,2019,1,7854.0
전남,2019,1,7966.2
경북,2019,1,8705.4
경남,2019,1,9675.6
제주,2019,1,11299.2
서울,2019,2,25169.1
인천,2019,2,11847.0
경기,2019,2,14044.8
부산,2019,2,13424.4
대구,2019,2,13160.4
광주,2019,2,10926.3
대전,2019,2,12173.7
울산,2019,2,10362.0
세종,2019,2,10081.5
강원,2019,2,7784.7
충북,2019,2,7550.4
